Review,Rating,document
"beautiful resort, ok thing like start travelling countries stop comparing, reading reviews tourists tend compare resort familiar home, guess not home, remember evaluate compacity.now review barcelo punta cana loved, weather fantastic, beach absolutely amazing, grounds resort kept immaculate, cleaning something.rooms clean, slight odor nothing deter staying, open window voila, odor gone, stayed room 5303. fantastic view pool area ocean, food, granted not tasty plenty choose, pasta bar main dining hall fantastic pools, geared activities relaxation, favorite relaxation pool, crowded.beach omg, beautiful, sand clean fine, surf little rough times ocean staff like people nicer, no rude, hugo pool swim bar fantastic medical staff burnt badly receive cortizone shots, dr. rodrigez fantastic, office immaculate, asked creditentials, studied 2 years spain 4 years dr. no problem consulting second time, sure medical insurance papers family dr phone number health card provincial canada, need info.towels no issues receiving fresh clean towel day.overall resort experience 9/10, hesitation teena jarvis 32 st. john nl canada,",5,20029
"relaxing time amrath classify 3/4 star hotel opposed 5* enjoyed stay, location good close central station.we did n't eat ca n't comment food.staff friendly.facilities experienced gym pool ok room ok view rubbish window overlooked building door looked like hospital stair case,",4,19719
"wont stay best continental breaksfast fruit, bathtub old needed caulking, toilet fixtures rusty, casino small, pool hot tub needed cleaning,",2,11040
"excellent excellent excellent.., stayed nights start november, excellent location excellent staff excellent price,",5,14933
"super stay spent saturday night thoroughly enjoyed stay, great location especially s-bahn u-bahn zell historic area, room lovely comfortable, staff charming, did not eat ca n't rate restaurants rarely eat hotels preferring experience local favorites usually save money,",5,5362
"bali garden o.k, family stayed bali garden hotel 7 days sure cremation site pool construction fine cheap holiday want pay right ahead, bali garden convenient staff friendly sure not standard oz not fussy just want great time,",2,18447
"beware, reservation expedia confirmed e-mail, arrived hotel firstly cliamed no record booking booking cancelled, appears hotel deliberately takes bookings bounces people booked lowest rates, hotel did not advise expedia, expedia helpful, hotel did little help.an expedia customer,",1,12657
"husband just got paradise time dominican republic wonderful, traveled alot different places far nicest hotels stayed, hotel beautiful rooms pool beach nothing left untouched, service amazing, fall alot employees did not speak good english, food good different restruants choose did not tired thing, shows evening great not cheesey shows expect, did not tours offered just went relaxed, did scuba dive day not great, not place just looking dive, diffently place wanting great relaxing vacation not lift finger, did not royal service got regular garden view room surprise garden view room got great ocean view think 2nd 3rd floors, glad did not pay extra royal service, service just good, guess just want little extra worth, tip shopping mall property course expensive walk beach direction 10 minutes little shops local goodies just beware locals best friend real fast, did stuff hotel gift shop cheaper locals selling just check, beleive complaint hotel probably not happy, truly great vacation not wait,",5,18790
"good times prince start important information, stayed new tower room singles.the view room world, panoramic window 33rd floor looking way shinagawa station new buildings south, room good not luxurious clean simple nice good size tokyo hotel, best thing course shinagawa area, lots convenient shinagawa prince kinds stuff just premises bowling alley movie theater definitely shinagawa station hit izakayas japanese pubs good japanese beer pub food,",5,15192
"good location clean over-rated, just returned tuscany nearly weeks hotel bellettini spent evening heading, location good close duomo clean, rooms incredibly sparse fine dramatic contrast references read, loud room near reception definitely hear, staff average best contrast read experienced rest trip.we felt definitely over-rated, unfortunately displayed holiday postcards 3 consecutive years guide book author sort creeped, wonder objectivity author review hotel trying hard,",3,10423
"form function recently stayed hotel qt nyc, fashionable hip trendy did n't basics right, showed not reservation, accomodating got room floor dark dungeon size closet 4 seasons, fashionably decorated, got traded room 10th floor brighter, did n't room place, stylish room not functional, no towels bathroom, dripping wet shower finally closet, brushed teeth lo behold no water glasses rinse, shower narrow tap located diredtly got soaked cold water turing, finally showcase pool main floor closed repairs tv terrible, nice small flat screen press channel button 3 times wait 3 seconds channel change, frustrating channel surfers, price good guess gave free breakfast,",2,17855
"not world-class luxury island shangri-la hotel good hotel no doubt world-class years ago, room received large spectacular view, felt out-dated characteristic smell mill-dew complaints did not help, service good concierge-staff went way help, breakfast buffet good nothing extra-ordinary, gym best feature hotel, pool-area average sterile, come hong-kong want world-class luxury treat definitely stay, probably seasons impressed, contemporary luxury, fredrik/stockholm,",4,15602
"good location went amsterdam agora hotel june, second time, went couple years, time disappointed general state room mediocre compared rate 140 night dirty walls carpet holes outdates interior decoration, word room deserved good renovation, location hotel really perfect visit enjoy amsterdam day night life, just aware rooms street quite noisy night club door, morning breakfast correct, staff nice accommodating.in sum not bad n't expect,",3,10433
"great quiet place relax purchased week copamarina expedia, great choice, 2hr drive san juan need rental, makes sense rent car hotel transportation airport does not cost, drive worth getting rental, like aggressive driving puerto rico ideal place drivers determined chances time quite skilled, driving san juan pass mountains offer excellent views exciting drive, resort secluded area wonderful famous dry forest located right warm bay, rains area quite bit resort stays dry sunny enclosed adjacent hills, beach/ocean grassy, walk 5 min public beach nice sand nicer water, boat trip 15 min islands enjoy beaches 8 round trip, resort offers free breakfast 7 11 iirc nice outdoors buffet great choices food fruit beverages, pools nice clean area green grassy, rooms not big nice clean, bathrooms pleasant, remember bring ear plugs need complete silence sleep, sound proofing poor way buildings build tropic, people resort friendly accommodating ground keepers receptionists, ask manager use internet 6pm best time pc no wireless internet connection resort, car trip phosphorus bay, devote 1 day visiting el yunke tropical forest north america commonwealth, watch cops speed traps common upper 48 speeders heavily fined paid 130 26mph limit reckless driving not problem long not speeding, spending day road arecibo observatory largest observatory recent james bond movie filmed, shopping areas close grocery store k-mart neat restaurants/fast food joints 20 min away car, course check old san juan, pleased resort puerto rico beautiful island great climate friendly people, copamarina affordable clean sort-of upscale relaxing resort working hard better, visit,",5,2712
"lousy walls lousy internet lousy room service stayed argonaut attend conference, stay argonaut mercy people rooms virtually no acoustic insulation, hear conversations normal levels tv, internet agonizingly slow, not watch streaming media large files forever, notice computers appeared places section macos 10.5 bit unnerving, used room service night actually got recorded message asking leave room number, 20 minutes called got message, just kept redialing got, order soup salad, food arrived 40 minutes later soup lukewarm, decor ok like nautical theme, n't think stay,",2,13213
"itsy bitsy teeny tiny short short, ok day, sparkggl review pretty dead, booked partial view cheapest available rooms, got king size bed tiny room tiny tv tiny microwave tiny fridge tiny everthing stayed jail cell bigger, hope gist, ignore tripavisor 6 hotels honolulu inflated rating not 6 hotel, ignore 4 star reviews not 4 star hotel dead 3 star hotel, paying 18/day parking tiny garage asked upgrade bigger room got denied want charge 25 night 2 year old theres no way hell stay tiny room 5 days paying room, asked lady pay upgrade 3 nights nights free courtesy mind hotels no charge hotels not, having checked hotels convinced sucker cheap small rooms figure want upgrade bigger room, convinced paying hotel probably picked bigger better hotel, small room fine person not person, staff ok smiling know just constantly smile time talk really ask nothing ordinary, n't mind small rooms know thinking small believe small person not recommend hotel, definitely choose hotel, research better bigger hotels hard way today,",3,18219
"n't stay, loved hotel, location perfect really trip, walking distance wanted, concierge extremely helpful directions booking canal cruise restaurant reservations no request trouble, room not overlooking dam just fine extremely quiet, room spacious bathroom loved soaps shower gel supplied, bed huge comfortable, piece advice- arrived amsterdam 8:00am long flight new york check-in time not 3:00pm, travel agent advised not worry rooms ready sooner, did try best room ready sooner simply n't possible people checking busy saturday, wished not listened travel agent booked extra day- worth just consider flight schedule similar japanese restaurant hotel did not disappoint food great, bit pricey not great shock new-yorkers, winter garden beautiful, did n't opt breakfast plan nearby places breakfast cheaper plus- n't exactly early risers breakfast 10:30, did breakfast morning wonderful choose champagne strawberries, check check easy leaving airport cinch, asked concierge taxi came room promptly brought bags ahead time taxi right no problem painless not visit beautiful city sure stay hotel heartbeat,",5,8752
"pleased rio mar, stayed rio mar june 19th 24th great time, no matter reviews read sure trip turn puerto rico friendliest people islands visited thought wyndham nice, resort pools beaches clean not crowded, really did n't problem finding chairs pool beach, rooms recently updated comfortable, worked rio mar friendly helpful desk staff maids room service, carlos concierge great arranging snorkeling trip providing recommendations local restaurants directions, recommendations rent car expensive shuttle family 4 tween age kids want want, trip walmart amigos stock bottled water/snacks/drinks, el yunque, skipped overpriced tour went visitor center drove park stopping things wanted, did book snorkeling day trip catamaran went reef flamenco beach culebra highlights trip, eat local restaurants, hotel restaurants good room service really enjoyed trying local cuisine nearby restaurants, iguana feeding rio mar fun ages, try speak spanish p.r, speaks english ask lots questions met friendly enjoyed telling puerto rico, time try stay vieques caribbean island white sand calmer water, try visit old san juan maybe bacardi tour.if looking lots nightlife shopping probably n't place want relax little near beach el yunque recommend staying, enjoy,",4,2637
"decent not fantastic booked guesthouse accurate description calling hotel time ranked 10th popular london tripadvisor.it ok decent value suppose chose described luxurious 4star 4star ranked just 300th popular, feel wrong decision price difference 0 night.it good location approx 10 minutes walk victoria station, rooms cleaned everyday men run place helpful pleasant.the rooms basic breakfast basic, satellite tv 7 maybe 8 channels trouble getting stairs place definitely not you.i wouldnt warn people steer clear place small extra money probably nicer,",3,11703
"great hotel great hotel friendly staff, rooms small well-appointed boutique feel, good continental breakfast complementary evening happy hour enjoyable,",5,7347
"great budget hotel hotel layne excellent budget hotel highly recommend, close heart san francisco costs little, run hospitable family patels possible make guests welcome, rooms clean comfortable far superior hotels higher price brackets.stay,",5,8004
"loved granvia pronounced granbia block half placa cataluna 53 room hotel renovated city house, entrance grand staircase pleasant helpful staff, free internet salon level phone calls usa cost 30p minute, 7 minute cost 2.30 euros, lovely room looking large terrace included water fountain playground children, room large bathroom superb shower devine, daughter thought beds bit hard no trouble sleeping, room renovated area rug clean, picky decor electic chandelier missing pieces glass, definitely reccommend hotel choice visited, direct better price hotel sites,",4,5913
"home home stayed order avoid hotel living whilst sydney 5 days i.e cook food etc.arrived just midday long flight uk normal check time 1400 receptionist offhand said apartment n't ready n't time, duty manager intervened took, no problem said apartment ready 30 mins took bags store took coffee shop otherside building.good word apartment ready 30 mins worth wait.spacious clean equipped home home.city view small balcony enabled fresh air, apartment serviced daily required.swimming pool gym basement adequate, staff arrangedtaxi departed, exception receptionist arrival staff helpful courteous.would definitely stay remember not service hotel long term residents building,",3,14792
"honeymoon away hands man husband started honeymoon bali ubud 3nights really n't excited city initially truly beach people orange county california, long flight taxi ride arrived beautiful alila, checking husband noticed upgraded villa later informed free massages guided hike, got not believe eyes thought episode mtv cribs, breath taking sunken tub koi pond private outdoor shower, leave room not not disturb sign return little treats left room fruit platter bed turned little desserts, no tvs clocks room ipod personally loved away hands man, highly recommend breakfast deal booking room not leave disappointed, opted romantic dinner 100 dollars, meet christian alila chef nice decide kind menu like, bottle wine night experience forget, staff nice helpful, computers business center wireless internet accessed lobby business center, alila far town free shuttle taxi rides 6 roundtrip plus n't need going town everyday bali relax decompress, spa wonderful pool amazing disappointed departed little piece paradise, continued honeymoon jimbaran nusa dua no placed compared alila ubud, biggest mistake not staying longer alila,",5,15377
"just hotel wow, experience, pmf beautiful elegant unique experience, staff wonderful, rooftop bar amazing stay smerelda room surrounded 200-500 year old frescos walls ceiling, afford want different i.e, not just fancy upscale hotel place.by way neighborhood hip artsy somewhat away main tourist beat minute walk bridge major shops sites.we forget palazzo magnani feroni,",5,9943
"great independent hotel stayed 6 nights business november impressed quality hotel, smiling receptionists efficient breakfast restaurant staff comfortable roomextremely convenient tube trains, especially surprised quick recah london brodge gatwick exactly time gatwick express price.overall great experience return,",4,4775
"aware conditions, family just returned sixteen long days mentioned resort, grounds beautiful reason rate resort instead far worst vacation indured, started arrival concerned selling time share long day travelling just getting room, finally got room musty refridgerator did not work, day noticed missing carry bags porters arrived resort, immediately notified numerous people lobby seamed just telling story people spoke little english no results, later day eating lunch spending time pool year old son said did not feel went room started, 8:00 called desk doctor duty just kept getting switched people did not speak english, finally reached medical doctor come room immediately hooked iv dehydrated vomiting, days recovered thank god turn, sick days n't maybe just did n't want eat drink, way food horrible tastes loaded grease flies eat outside mess halls, not drink water ice cubes juices lettuce ect, water used process water bacteria poor filtration sewer inhabitation, people talked sixteen day period estimate close fifty percent experienced degree illness, strongly recommend planning trip area contact doctor ahead time prepared, aspects trip weather fairly nice 85 degrees occasional showers, beaches alright alot seaweed, conditions not leave resort did manage shopping day hour, unless really enjoy bartering hassle ripped, end not wait leave offered free ticket, resort lacks want vacation mainly relaxation good food service, instead got aggrevation sick lost bag quickly got tired ordeal,",2,3152
"simply perfect vacation, boyfriend just returned day stay marriott not wait, suite overlooked ocean magnificent view awaken morning, highly recommend room 927, pleasure meeting managers arroyo checked exchanging emails previous weeks prior arrival thank mr arroyo, fruit platter waiting room card welcoming home, not nicer, received follow message phone desk manager just making sure things way wanted, bed comfortable, temperature room perfect, received absolute best service hotel maribel moraima desk axel jennifer swim pool bar, rafael greeted morning went beach pool set chairs towels, major hotels la isla verde appear glamorous think true puerto rico experience warm welcoming atmosphere truly relaxing vacation look no courtyard,",5,13167
"good experience spent 3 nights hotel, not close center taxis cheap not inconvenience, did not problems, room incredible big confortable nice, bed huge confortable, window big not dark curtains woke early morning, room second floor floor pool gym bit noisy, bathroom ok advice tap water not safe drink 2 free bottles water day.the staff kind efficient not speak fluent english man speaks words spanish, best help proffessional way specially bell boys, nice helpfull, atm inside hotel restaurant assorted, hotel comfortable nice clean staff nice, hotel good choice,",5,16973
"great spot san fran trip s.f, no idea stay, trusted reviews tripadvisor not dissappointed, orchard great spot city close public transportation airports nice staff nice facilites, reasonable prices 150 night nice room aaa discount, walking city couple days like s.f, small no really far make rebook orchard,",5,6566
"fabulous honeymoon spent week honeymoon doubt best hotels world, travel lot high expectations based recommendations good hoped, staff gracious respectful unlike hotels paris food le cinq absolutely fabulous, ended dining twice worth penny, spa exquisite worth visit pamper, room beautiful expected seasons, ended eifel tower view special, highly recommended,",5,4358
"perfect location el convento perfectly located door cathedral middle old san juan, interesting history hotel adds charm comfort luxury property, n't miss afternoon wine reception gratis, great place meet travelers kindred spirit, refreshingly quiet break noisy casino hotels,",5,2516
"not bad make sound read reviews hotel vacation, worried going horrible booked second reservation just case bad people, wasn't.first called day left confirm reservation, person answered phone poliet professional, confirmed reservation accurate priceline, told not guarantee early check-in moment flight arriving 8:30 morning could.this leads point arriving professionally dressed women desk, greeted warmly checked-in immediately rooms open, woman helped named jasmine believe professional, did not untucked wrinkled shirt alleged, confirmed days staying gave card keys needing ask hotels, no construction mess noise said minor things lobby nothing messy noisy, ac worked room quite adjust suit needs, carpets old need replaced sure continue improve hotel.when called desk inquire catch bus seattle woman answered happily told exactly catch told stopped desk way bus scedules route, definitely professional service it.the complaint think carpets room continental breakfast, sad offered 6-9 am.i definitely recommend hotel people staying seattle short time close airport downtown extended trip focusing dowtown not convient, ah forgot mention lobby guest use not laptops, thought excellent n't seen hotels stayed,",4,482
"nice hotel located centre amsterdam just blocks busy dam square, stopera theatre flower market blocks, kilometre amsterdam centraal train station clean cozy friendly staff.enjoy stay,",3,9346
"not bad stayed honeymoon week 11/8-11/15, got free upgrade hotel damage original hotel hurricanes, hotel awesome, cleaning staff nice, food good seafood, plenty resort trust know day sunshine, nothing outside resort poverty real disappointment entire trip beach, not pure white sand crystal clear calm waters cancun, atlantic water rough, rough fact able water 1 day entire week snorkling trip got canceled 3 days row, ways make money use getting massages intead, watch drink called mamma wan na, called mind eraser 5 did n't remember evening overall resort nice, weather not good ca n't controlled, beach disappointment, enjoyed trip not,",4,7100
"good value price hotel resort eventough bit older dated maintained, staff friendly doing make guests happy, classic pool beach-resort hang day entertain usual staff like ping-pong beach-volley jet-ski, overall fair value price.however hotel label leading hotels world expectations need setted right compared ldh clearly not 5* hotel, facility dated food variance sophistication little just view little things, n't wrong fair good level claiming best critic apropriateplus nusa dua like island rest bali, 3 times expensive, simply avoid renting motor-bike exploring sourundings,",4,15756
"pleasant stay blips.. pay 400 including taxes night five-stay hotel like expectations run high, generally stay place pleasant, room spaced maintained plasma tv plus, blips breakfast ok standard food dropped stay years ago, service inconsistent staff greeted guests smiles quick directions appeared nonchalant looked away making greetings saying pleasant day ahead stoned expression looking away does not count service, advice n't motion n't mean say.- lost spectacle holder day checked apparently fell cupboards according friend stayed, called housekeeping n't locate, went desk hours later check, saw desk person called housekeeping laughed shook head talking phone said sorry n't locate, felt insulted matter like treated lightly, friend adviced small items like dispensables hotels like, did n't accept reason felt robbed.otherwise hotel pleasant stay nice view hudson river skyline,",3,12754
"loved lazy parrot just returned 8-day stay lazy parrot just loved, arrived early day airline schedule given room thank, new poolside rooms just lovely, plenty room family 4 clean beautifully decorated, nice breakfast outside morning pool, rum punches evenings rum shack plus good food did n't want venture dinner, friendly, n't hesitate recommend lazy parrot,",5,2683
"big disappointment posted premises nl search engine, recent renovation tacky noisey ventilation not turned, tiny musty rms, stealth chgs breakfast.. premises reek tobacco, annex bldgs away isolating,",1,8625
"quiet small friendly place stayed week borgmann villa hotel, sits quiet stately neighborhood vondel park, long walk center town easy tram busses, rent bicycle best way travel city make city quickly accessible, rooms comfortable quiet, managers helped connect wifi lovely dining area available work, hotel convenient rai congress center bicycle long walk.i difficult reasonably priced hotel amersterdam borgmann not cheap good deal 8-,",5,10686
"left heart san francisco loved omni hotel clean friendly hotel, rooms spacious decorated, read reviews saying rooms shabby dirty carpets say sore no evidence people happy say, friendly helpful pushed tip, steaks great steak house hotel little pricey shop loads places eat.the thing was'nt happy bar area night alwaysfull people worked financial district finished work gone hotel drink leaving no room paying guests hotel felt addressed hotel.san francisco lovely friendly city great memorys forget advice visit lives would'nt regret,",5,7925
"good value sydney stayed 4 nights vulcan christmas 2005. happy thought quite good value negative reviews coming from.on plus cost aus 120 night not far city centre rooms pretty new quite equipped, walk darling harbour 15 minutes frequent bus service bus stop just minutes away buses circular quay george st main train station, shopping centre nearby buy breakfast picnic stuff fride room australian hotels, true n't really restaurants nearby couple aways shopping centre lots cafes food court, wanted proper restaurant probably looking darling harbour, true area not particularly attractive did n't dangerous not uncomfortable walking night.it quiet room street true no lift, room fine thing not happy service reception closed 9.00 pm till 7.00 christmas day no maid service, day maid knocked door 10.00am room, went 11.00am came night n't cleaned room, thought luxury hostel international style hotel,",3,14797
"comfort hilton paris stayed hilton arc triomphe 5 days nice, room compfortable clean, staff efficient friendly helpful, location convenient quieter residential type area new location really enjoyed area good walking nice restaurants, downside usual priced breakfast buffet street coffee croissant,",4,14565
"like run-down westin definitely agree reviewers wrote pulitzer not luxury collection standards, booked hotel starwood preferred guest program received night free points, points corporate rate supposed pay 800 euros 5 night stay reasonable.when arrived received treatment desk previous reviewers trouble deciphering reservations booked starwood agent wait 5 hours room arrived 9:00 a.m. imagine typical american travelers overnight flights option generally disorganized not cordial not rude, desk clerk finally got told received complimentary upgrade nights include breakfast reservations included did not room spacious european standards canal-front room, clean bright, bathroom small shower/bathtub combo single sink pretty did great water pressure, air conditioner worked sometimes-warm august days, tv older no flat panels, furniture nice shabby scratched dented, canal perks hear people walking talking shouting laughing wee hours, ear plugs helped problem, fairly major renovations floor not notified arriving check, painting walls outside room replacing carpet, heard banging day, luxury hotels avoid booking rooms sort renovation warn guests not pulitzer, services food offered hotel expensive, internet 20/day tours offered concierge desk topped 200 euros breakfast great n't spend extra 75 euros night include price room seemingly differentiator regular room executive, did spend 38 euros pp 1.5 hour ride lovely canal boat great not family baby showed late stroller displaced passengers, check-out not reconciled starwood reservations charging free upgrade received check-in, bring charged extra 400 euros stay, able negotiate just 125 euros finally gave, time home leave pulitzer,",2,4400
"home new york city, husband place new york city, loved city able hotel makes feel home masses, soon walked door casablanca worries, handsome gentlemen staff greeted day warm smiles genuine willingness make trip pleasant possible, thank aaron, furthermore joe general manager hand make feel extra special, n't complimentary breakfast morning wine cheese reception complimentary internet access guests lounge called rick cafe, oh yeah close mean walking distance.there no question casablanca time step foot new york city, thank sooooooo guys showing great new york sincerely happy guest,",5,1242
"great value stayed hotel enza florence 2 nights, room quite large italy standards, paid 80 euros 72 cash breakfast, hotel free internet lobbythe location quick walk train station accademia, overall hotel n't impressive 72 euros night great deal,",4,17904
"good location stayed 2 nights february 2007. hotel 100 yds airport runway, lots noise jets, rooms clean staff friendly, coin operated laundry plus traveling small children, lots fast food places nearby, bit far old san juan ports 15-20 min drive depending traffic believe sort public transportation available, continental breakfast included juice muffins toast cold cereal, overal not bad place stay night 2. swimming pool small hot tub swim bar,",3,3380
"5 star, quick flight bangkok took taxi conrad, greeted people showed desk, diamond member taken executive lounge check in.check fast friendly, guy checking not helpful, advised upgraded suite, showed room 50 inch tv living room, room nice large bedroom appointed bathroom, no complaints notch, executive lounge 31st floor better hilton ones, breakfast meal not just breads pastries, day drinks coffee, view singapore fantastic overall conrad scored big, defiantly stay return,",5,16318
"got ta, resort perfection, debating place choose n't hesitate, grounds pools beach hotel simply breathtakingly gorgeous, people warm friendly, service impeccable, favorite parts breakfast toscana, ca n't imagine buffet choices extensive food fresh delicious presented beautifully highlight wonderful piano music provided brilliant miguel, pools crystal clean perfect temperature exercise pool 12 noon louis chichi great, playing surf great fun sand smooth solid, no shells rocks, drink day brought order want beautiful smiling rafalina, miss mi amiga, spanish class francisco informative help converse staff, n't miss dancing isael wonderful partner fun, intoduce ricardo benjamin cafe kafe n't forget stop sports bar wilson good care smile, remembered drink visit, resort refined subdued sandals montego bay, items use improvement, use equipment gym, treadmill stepper service, no face cloths rooms use hand towel, beach barbeque night no eating utensils provided, arrived torrential downpour rained 4 days certainly n't fault management fabulous time, mini refridgerators room nice, stocked daily fresh soda water presidente, budweiser available martini bar cafe kafe not cold, shows good lots great dancing, try dirty banana great drink, n't miss chateau briand sp, chez isabelle served incomparable ramon, die, restaurants food fabulous, portions small appetizer soup salad n't need anymore, place truly excellente,",5,6977
"sad blindfolded dropped place thing know island, husband not golfers prettiest hotel golf course, stayed las vistas wing awakened like jack-hammering noise probably old water pipes, elevators broken day arrived fifth floor.there no tropical atmosphere room whatsoever.the food expectations, puerto rico person expect kind local foods sample, eaten ihop food better, attended semi-formal event served hockey-pucks, thankfully business reward review prabably worse, feel bad fact company dish money place fun south florida, good point staff friendly, worst place fact wanted san juan wanted hour half, spent half day sitting buses, plenty hotels miles airport cheaper better worth time, truly false advertising state luxury hotel, owns hotel truly milking business events, stars best, type hotel makes not want returnt puerto rico,",1,2543
"friendly clean stayed long weekend prins hendrik 17-20 07 hotel good 3 single rooms smallest 3 clean tidy fine 2 single rooms double bed 2 singles, breakfast buffet cold meats cheese scrambled eggs beans toast cereals coffee/ tea quite nice.the staff friendly hotel situated right heart city just opposite centraal station.the downside did lot noise outside hotel noticed night did bother did n't ntice 2 nights not sure thats tired got used n't bad night.to thinking booking hotel recommend lift safe facility stay,",4,10712
